Zip, Total Population ,Percent Males
31320-0000,"1,002,146",80
99502-0000,"1,002,166",94
31328-0000,"1,002,224",88
32839-0000,"1,002,329",54
69331-0000,"1,002,387",75
37355-0000,"1,002,399",44
75225-0000,"1,002,402",42
28584-0000,"1,002,450",7
17239-0000,"1,002,629",19
93922-0000,"1,002,653",100
29654-0000,"1,002,695",33
65676-0000,"1,002,775",41
42124-0000,"1,002,791",29
25916-0000,"1,002,812",36
61489-0000,"1,002,816",9
44077-0000,"1,002,864",38
1061-0000,"1,002,952",56
29691-0000,"1,002,989",90
63363-0000,"1,003,134",70
32426-0000,"1,003,176",59
39423-0000,"1,003,206",24
62230-0000,"1,003,244",58
99208-0000,"1,003,298",49
80828-0000,"1,003,331",11
34101-0000,"1,003,342",42
12054-0000,"1,003,425",62
73573-0000,"1,003,427",85
33687-0000,"1,003,514",85
94273-0000,"1,003,522",58
58077-0000,"1,003,550",74
87829-0000,"1,003,578",5
72670-0000,"1,003,667",69
56162-0000,"1,003,669",16
72449-0000,"1,003,671",72
49826-0000,"1,003,675",70
98068-0000,"1,003,743",59
94262-0000,"1,003,807",24
90846-0000,"1,003,836",72
50861-0000,"1,003,946",53
24083-0000,"1,003,964",98
95701-0000,"1,004,058",6
39144-0000,"1,004,099",20
63961-0000,"1,004,112",94
50231-0000,"1,004,205",36
84331-0000,"1,004,229",64
99760-0000,"1,004,308",37
16858-0000,"1,004,313",98
19963-0000,"1,004,320",56
81602-0000,"1,004,371",95
65261-0000,"1,004,470",91
38672-0000,"1,004,473",17
23954-0000,"1,004,481",54
76033-0000,"1,004,516",16
81025-0000,"1,004,542",39
44191-0000,"1,004,615",2
83451-0000,"1,004,632",31
39885-0000,"1,004,645",8
41702-0000,"1,004,649",51
11960-0000,"1,004,661",39
32092-0000,"1,004,815",86
23003-0000,"1,004,858",71
79312-0000,"1,004,891",93
72105-0000,"1,004,909",23
95117-0000,"1,005,063",21
38368-0000,"1,005,064",8
68933-0000,"1,005,068",18
12939-0000,"1,005,078",53
62062-0000,"1,005,113",57
83804-0000,"1,005,118",22
24836-0000,"1,005,283",76
13143-0000,"1,005,477",68
56575-0000,"1,005,520",15
51109-0000,"1,005,530",66
70049-0000,"1,005,596",54
90603-0000,"1,005,630",93
66951-0000,"1,005,648",97
92842-0000,"1,005,649",47
49621-0000,"1,005,790",93
16829-0000,"1,005,800",64
7832-0000,"1,005,886",28
61025-0000,"1,005,895",10
17113-0000,"1,005,946",72
46721-0000,"1,006,118",96
28236-0000,"1,006,163",65
83323-0000,"1,006,228",30
28163-0000,"1,006,232",10
62984-0000,"1,006,263",54
67109-0000,"1,006,365",62
75782-0000,"1,006,409",3
43458-0000,"1,006,412",61
49727-0000,"1,006,418",74
15716-0000,"1,006,468",43
61375-0000,"1,006,478",16
13647-0000,"1,006,484",19
24432-0000,"1,006,485",97
30178-0000,"1,006,508",40
36255-0000,"1,006,510",54
19437-0000,"1,006,615",10
25327-0000,"1,006,690",94
19390-0000,"1,006,692",13
32231-0000,"1,006,705",62
77535-0000,"1,006,725",78
71264-0000,"1,006,786",75
37366-0000,"1,006,844",70
67436-0000,"1,006,851",54
3218-0000,"1,006,867",85
68138-0000,"1,006,946",37
67351-0000,"1,007,009",93
67626-0000,"1,007,109",7
63537-0000,"1,007,237",70
79951-0000,"1,007,271",36
31296-0000,"1,007,276",32
56538-0000,"1,007,291",91
17327-0000,"1,007,327",24
37814-0000,"1,007,336",34
32181-0000,"1,007,391",10
36111-0000,"1,007,434",71
61432-0000,"1,007,444",55
12019-0000,"1,007,470",4
65081-0000,"1,007,471",84
10595-0000,"1,007,480",45
84510-0000,"1,007,490",9
72947-0000,"1,007,505",82
46384-0000,"1,007,509",19
44056-0000,"1,007,560",96
24011-0000,"1,007,652",89
19541-0000,"1,007,671",67
72613-0000,"1,007,694",45
33187-0000,"1,007,702",30
29922-0000,"1,007,809",74
36605-0000,"1,007,887",24
44085-0000,"1,007,932",12
79608-0000,"1,007,944",24
29356-0000,"1,007,954",45
15327-0000,"1,007,974",73
27936-0000,"1,008,003",91
88028-0000,"1,008,033",69
20067-0000,"1,008,051",37
98442-0000,"1,008,123",65
2297-0000,"1,008,181",6
95211-0000,"1,008,209",42
62280-0000,"1,008,215",82
67552-0000,"1,008,265",81
90189-0000,"1,008,332",87
12540-0000,"1,008,365",1
12194-0000,"1,008,418",60
43326-0000,"1,008,445",75
44418-0000,"1,008,506",26
24422-0000,"1,008,574",30
81090-0000,"1,008,582",41
95722-0000,"1,008,614",93
14878-0000,"1,008,615",16
28278-0000,"1,008,618",12
8543-0000,"1,008,686",22
11969-0000,"1,008,696",20
14653-0000,"1,008,766",71
66967-0000,"1,008,819",24
85219-0000,"1,008,825",24
94588-0000,"1,008,828",84
79360-0000,"1,008,855",11
59732-0000,"1,008,876",3
68454-0000,"1,008,909",52
98537-0000,"1,008,992",67
4105-0000,"1,009,052",48
98304-0000,"1,009,230",97
16726-0000,"1,009,232",92
11375-0000,"1,009,238",61
45679-0000,"1,009,242",48
84105-0000,"1,009,262",15
12107-0000,"1,009,268",99
47924-0000,"1,009,289",51
73481-0000,"1,009,347",54
16838-0000,"1,009,428",86
35631-0000,"1,009,431",74
13455-0000,"1,009,435",27
20612-0000,"1,009,462",3
90071-0000,"1,009,517",33
80216-0000,"1,009,519",90
4352-0000,"1,009,524",46
57346-0000,"1,009,593",38
87103-0000,"1,009,720",88
55591-0000,"1,009,771",8
59471-0000,"1,009,788",83
76239-0000,"1,009,810",68
29940-0000,"1,009,815",8
89077-0000,"1,009,840",34
14040-0000,"1,009,842",12
25639-0000,"1,010,022",10
21669-0000,"1,010,089",22
30740-0000,"1,010,130",41
68421-0000,"1,010,152",1
74148-0000,"1,010,163",11
79091-0000,"1,010,173",74
55120-0000,"1,010,192",7
77008-0000,"1,010,218",68
23503-0000,"1,010,282",91
18946-0000,"1,010,300",29
65254-0000,"1,010,345",53
54171-0000,"1,010,369",49
25261-0000,"1,010,490",87
18348-0000,"1,010,541",50
62378-0000,"1,010,621",49
93430-0000,"1,010,670",73
19375-0000,"1,010,749",42
40295-0000,"1,010,775",30
13737-0000,"1,010,827",86
75391-0000,"1,010,885",89
97886-0000,"1,010,921",63
96014-0000,"1,010,929",86
35019-0000,"1,010,935",37
66865-0000,"1,010,954",51
83536-0000,"1,010,977",62
33566-0000,"1,011,027",67
88012-0000,"1,011,036",13
12304-0000,"1,011,063",44
36460-0000,"1,011,094",81
49127-0000,"1,011,279",59
17769-0000,"1,011,319",94
12433-0000,"1,011,343",51
79452-0000,"1,011,411",25
33036-0000,"1,011,426",62
54937-0000,"1,011,433",28
11972-0000,"1,011,434",98
63740-0000,"1,011,438",97
18954-0000,"1,011,440",97
97369-0000,"1,011,494",65
32180-0000,"1,011,602",85
99656-0000,"1,011,618",49
22194-0000,"1,011,715",23
87574-0000,"1,011,728",13
43220-0000,"1,011,732",80
38673-0000,"1,011,739",76
4098-0000,"1,011,830",74
93962-0000,"1,011,832",90
61272-0000,"1,011,987",24
17048-0000,"1,012,014",95
92860-0000,"1,012,091",47
98564-0000,"1,012,149",60
77099-0000,"1,012,188",6
80750-0000,"1,012,220",26
34478-0000,"1,012,272",99
5355-0000,"1,012,275",24
39555-0000,"1,012,327",29
93034-0000,"1,012,422",69
20224-0000,"1,012,438",50
94285-0000,"1,012,551",49
20688-0000,"1,012,580",99
99748-0000,"1,012,596",43
72640-0000,"1,012,612",20
29808-0000,"1,012,632",8
44859-0000,"1,012,646",86
21851-0000,"1,012,667",12
26138-0000,"1,012,871",69
47306-0000,"1,012,893",45
34230-0000,"1,012,903",22
95397-0000,"1,012,940",30
68063-0000,"1,012,985",30
12721-0000,"1,013,052",62
3443-0000,"1,013,074",28
39320-0000,"1,013,117",18
6147-0000,"1,013,136",54
33325-0000,"1,013,175",18
18943-0000,"1,013,207",63
25770-0000,"1,013,271",95
40422-0000,"1,013,279",31
85703-0000,"1,013,451",74
98430-0000,"1,013,562",49
37389-0000,"1,013,598",28
43518-0000,"1,013,600",93
58759-0000,"1,013,699",43
42378-0000,"1,013,765",32
23130-0000,"1,013,770",100
58702-0000,"1,013,840",44
64081-0000,"1,013,945",30
36064-0000,"1,013,981",60
88433-0000,"1,013,991",80
98418-0000,"1,014,013",76
95461-0000,"1,014,014",74
81059-0000,"1,014,071",44
49327-0000,"1,014,121",31
33610-0000,"1,014,152",47
32627-0000,"1,014,194",36
80223-0000,"1,014,231",73
11549-0000,"1,014,261",47
41081-0000,"1,014,385",44
29333-0000,"1,014,426",38
42431-0000,"1,014,456",20
31791-0000,"1,014,535",54
30624-0000,"1,014,683",54
94017-0000,"1,014,703",30
78469-0000,"1,014,875",19
72536-0000,"1,014,886",79
32007-0000,"1,014,910",60
54624-0000,"1,014,911",99
61440-0000,"1,014,943",39
63655-0000,"1,014,971",88
41173-0000,"1,015,000",59
23507-0000,"1,015,159",7
96821-0000,"1,015,254",6
72501-0000,"1,015,301",45
38652-0000,"1,015,310",63
98025-0000,"1,015,316",18
20090-0000,"1,015,348",11
87573-0000,"1,015,369",7
47957-0000,"1,015,377",84
54021-0000,"1,015,412",28
23455-0000,"1,015,427",42
10706-0000,"1,015,444",59
10130-0000,"1,015,476",15
7077-0000,"1,015,553",20
44629-0000,"1,015,591",13
78610-0000,"1,015,594",17
62071-0000,"1,015,640",98
2059-0000,"1,015,748",38
45320-0000,"1,015,862",71
69138-0000,"1,015,960",94
8801-0000,"1,015,966",18
80117-0000,"1,016,118",76
31778-0000,"1,016,171",34
74063-0000,"1,016,218",13
4761-0000,"1,016,248",41
62707-0000,"1,016,315",15
39815-0000,"1,016,359",80
94022-0000,"1,016,384",78
77588-0000,"1,016,419",6
82059-0000,"1,016,456",10
11738-0000,"1,016,457",11
97299-0000,"1,016,524",10
73770-0000,"1,016,563",19
52756-0000,"1,016,611",40
57274-0000,"1,016,651",27
5671-0000,"1,016,655",7
33760-0000,"1,016,685",88
83286-0000,"1,016,732",50
77234-0000,"1,016,746",97
68655-0000,"1,016,760",29
77807-0000,"1,016,765",11
86312-0000,"1,016,830",88
55947-0000,"1,016,846",59
76369-0000,"1,016,850",98
66202-0000,"1,016,875",12
6795-0000,"1,016,901",17
85757-0000,"1,017,017",8
90504-0000,"1,017,036",32
41016-0000,"1,017,128",100
24113-0000,"1,017,144",32
7877-0000,"1,017,211",48
5759-0000,"1,017,246",57
98361-0000,"1,017,280",32
73747-0000,"1,017,304",88
18615-0000,"1,017,309",46
30507-0000,"1,017,312",34
59435-0000,"1,017,330",37
87123-0000,"1,017,418",60
15323-0000,"1,017,462",53
4029-0000,"1,017,489",26
2065-0000,"1,017,492",75
39859-0000,"1,017,495",62
45475-0000,"1,017,513",44
28602-0000,"1,017,564",79
60044-0000,"1,017,618",12
92091-0000,"1,017,623",96
60601-0000,"1,017,635",67
22401-0000,"1,017,661",1
50633-0000,"1,017,716",51
38347-0000,"1,017,744",3
57028-0000,"1,017,779",24
68923-0000,"1,017,812",94
82410-0000,"1,017,856",95
58415-0000,"1,017,872",36
25537-0000,"1,017,922",11
16727-0000,"1,017,964",37
79942-0000,"1,018,002",20
26164-0000,"1,018,006",5
64064-0000,"1,018,018",78
37232-0000,"1,018,072",10
1256-0000,"1,018,087",13
61426-0000,"1,018,133",37
80235-0000,"1,018,151",74
17839-0000,"1,018,156",53
39271-0000,"1,018,190",43
42728-0000,"1,018,273",23
94199-0000,"1,018,310",6
70549-0000,"1,018,318",42
53789-0000,"1,018,348",98
23115-0000,"1,018,351",10
22225-0000,"1,018,397",32
67218-0000,"1,018,452",92
5342-0000,"1,018,521",57
50069-0000,"1,018,544",52
77270-0000,"1,018,597",89
72824-0000,"1,018,672",87
15942-0000,"1,018,673",31
11775-0000,"1,018,737",16
94928-0000,"1,018,779",19
71243-0000,"1,018,816",80
38080-0000,"1,018,823",65
34762-0000,"1,018,882",63
25311-0000,"1,018,901",74
85372-0000,"1,018,905",14
79932-0000,"1,018,943",52
51540-0000,"1,018,989",11
44302-0000,"1,019,021",37
31606-0000,"1,019,075",65
99546-0000,"1,019,133",51
76380-0000,"1,019,169",42
55003-0000,"1,019,229",83
11053-0000,"1,019,245",100
16514-0000,"1,019,277",52
71999-0000,"1,019,286",82
91987-0000,"1,019,299",44
44701-0000,"1,019,300",10
58079-0000,"1,019,333",45
4047-0000,"1,019,355",11
56528-0000,"1,019,359",8
80473-0000,"1,019,388",96
2840-0000,"1,019,455",85
62052-0000,"1,019,587",7
7645-0000,"1,019,603",11
92698-0000,"1,019,649",46
58261-0000,"1,019,685",80
50520-0000,"1,019,688",27
88318-0000,"1,019,746",57
47648-0000,"1,019,752",39
74349-0000,"1,019,759",100
17519-0000,"1,019,788",51
49457-0000,"1,019,901",15
2324-0000,"1,019,909",77
66763-0000,"1,019,917",50
8808-0000,"1,019,960",45
56361-0000,"1,019,994",37
50157-0000,"1,020,253",10
34138-0000,"1,020,394",86
69169-0000,"1,020,394",62
22801-0000,"1,020,415",35
33032-0000,"1,020,513",16
41203-0000,"1,020,514",86
99213-0000,"1,020,551",94
68813-0000,"1,020,563",61
57339-0000,"1,020,587",38
81084-0000,"1,020,634",39
35978-0000,"1,020,712",25
92394-0000,"1,020,712",61
32301-0000,"1,020,732",3
74461-0000,"1,020,786",66
76203-0000,"1,020,786",80
75014-0000,"1,020,871",92
20453-0000,"1,020,896",46
92071-0000,"1,020,928",39
90078-0000,"1,020,957",83
20229-0000,"1,020,960",2
26886-0000,"1,021,015",44
84513-0000,"1,021,032",14
37183-0000,"1,021,042",54
60411-0000,"1,021,075",25
53952-0000,"1,021,094",38
31995-0000,"1,021,115",83
23821-0000,"1,021,116",51
45312-0000,"1,021,118",15
33929-0000,"1,021,151",95
36043-0000,"1,021,267",27
48165-0000,"1,021,271",63
83230-0000,"1,021,379",89
63347-0000,"1,021,380",15
84402-0000,"1,021,427",4
77430-0000,"1,021,491",16
43902-0000,"1,021,541",24
37404-0000,"1,021,566",16
70570-0000,"1,021,640",45
32215-0000,"1,021,652",15
75852-0000,"1,021,708",8
27511-0000,"1,021,776",39
78702-0000,"1,021,778",10
94290-0000,"1,021,942",60
30034-0000,"1,021,988",76
29217-0000,"1,022,011",51
42784-0000,"1,022,022",19
26588-0000,"1,022,023",95
56140-0000,"1,022,049",20
70345-0000,"1,022,084",78
34997-0000,"1,022,104",74
72636-0000,"1,022,172",92
85607-0000,"1,022,187",23
33537-0000,"1,022,232",13
20180-0000,"1,022,272",79
32050-0000,"1,022,286",3
91008-0000,"1,022,360",12
31516-0000,"1,022,415",46
38828-0000,"1,022,434",88
19496-0000,"1,022,451",37
55752-0000,"1,022,470",28
59932-0000,"1,022,481",52
81648-0000,"1,022,509",36
97114-0000,"1,022,585",25
4084-0000,"1,022,611",15
84337-0000,"1,022,783",7
29624-0000,"1,022,869",96
21260-0000,"1,022,918",55
30078-0000,"1,022,920",36
82723-0000,"1,022,926",38
48107-0000,"1,022,942",25
59719-0000,"1,023,012",31
62935-0000,"1,023,060",89
28669-0000,"1,023,092",36
55783-0000,"1,023,107",70
45305-0000,"1,023,157",95
80612-0000,"1,023,159",26
20586-0000,"1,023,196",14
46016-0000,"1,023,362",9
60454-0000,"1,023,385",84
73020-0000,"1,023,461",36
47471-0000,"1,023,504",36
60516-0000,"1,023,532",3
93116-0000,"1,023,542",50
20060-0000,"1,023,548",5
54457-0000,"1,023,688",77
5775-0000,"1,023,719",43
46069-0000,"1,023,796",92
25185-0000,"1,023,828",73
91917-0000,"1,023,935",5
37352-0000,"1,023,954",47
78749-0000,"1,023,976",74
46935-0000,"1,024,001",45
62311-0000,"1,024,044",22
40803-0000,"1,024,047",36
43222-0000,"1,024,089",11
52660-0000,"1,024,129",59
2744-0000,"1,024,171",63
59217-0000,"1,024,191",79
43360-0000,"1,024,204",28
73156-0000,"1,024,246",55
19902-0000,"1,024,250",92
32911-0000,"1,024,460",42
89178-0000,"1,024,596",6
32588-0000,"1,024,642",21
33918-0000,"1,024,766",78
65323-0000,"1,024,776",26
19420-0000,"1,024,899",66
27559-0000,"1,024,916",94
36574-0000,"1,025,023",85
88330-0000,"1,025,140",18
31415-0000,"1,025,180",55
99206-0000,"1,025,246",17
41828-0000,"1,025,280",34
57568-0000,"1,025,472",25
95639-0000,"1,025,473",13
85392-0000,"1,025,527",70
64440-0000,"1,025,557",75
77450-0000,"1,025,648",83
60668-0000,"1,025,659",92
33906-0000,"1,025,752",85
30090-0000,"1,025,779",67
97383-0000,"1,025,899",68
12423-0000,"1,025,908",12
55111-0000,"1,025,920",30
54538-0000,"1,025,939",95
25063-0000,"1,025,954",7
98168-0000,"1,025,984",29
32692-0000,"1,025,997",22
72914-0000,"1,026,078",26
79944-0000,"1,026,084",55
33408-0000,"1,026,152",81
65664-0000,"1,026,178",46
61063-0000,"1,026,256",100
40071-0000,"1,026,369",95
33077-0000,"1,026,418",94
48457-0000,"1,026,500",80
49962-0000,"1,026,586",3
21201-0000,"1,026,592",87
13845-0000,"1,026,744",74
53579-0000,"1,026,754",95
28137-0000,"1,026,780",24
61340-0000,"1,026,791",36
83013-0000,"1,026,831",3
98333-0000,"1,026,904",90
54417-0000,"1,027,006",92
6245-0000,"1,027,055",46
99555-0000,"1,027,136",38
56353-0000,"1,027,227",2
45166-0000,"1,027,253",100
44255-0000,"1,027,381",31
24850-0000,"1,027,397",43
12444-0000,"1,027,403",51
31601-0000,"1,027,449",40
43977-0000,"1,027,499",95
15637-0000,"1,027,588",1
11405-0000,"1,027,730",64
23602-0000,"1,027,743",85
81089-0000,"1,027,829",42
29365-0000,"1,027,849",92
78653-0000,"1,028,031",42
42049-0000,"1,028,056",15
46853-0000,"1,028,056",14
32792-0000,"1,028,118",83
33549-0000,"1,028,194",47
14757-0000,"1,028,203",10
16201-0000,"1,028,217",49
27508-0000,"1,028,287",47
68765-0000,"1,028,399",90
98166-0000,"1,028,399",43
38063-0000,"1,028,560",90
78390-0000,"1,028,639",61
47994-0000,"1,028,706",52
40178-0000,"1,028,758",91
80960-0000,"1,028,780",40
61125-0000,"1,028,825",50
58271-0000,"1,028,878",87
65233-0000,"1,029,153",12
28681-0000,"1,029,201",5
24724-0000,"1,029,206",65
7740-0000,"1,029,217",79
62963-0000,"1,029,221",72
2563-0000,"1,029,274",87
27050-0000,"1,029,302",73
12155-0000,"1,029,324",66
76095-0000,"1,029,342",68
15101-0000,"1,029,395",94
39404-0000,"1,029,425",28
47834-0000,"1,029,496",43
91752-0000,"1,029,568",8
8735-0000,"1,029,588",7
15337-0000,"1,029,657",74
34290-0000,"1,029,683",22
71475-0000,"1,029,709",98
46360-0000,"1,029,721",56
51038-0000,"1,029,760",24
27939-0000,"1,029,775",2
81423-0000,"1,029,792",12
51364-0000,"1,029,793",91
97884-0000,"1,029,876",95
83542-0000,"1,029,883",6
19850-0000,"1,029,904",67
50266-0000,"1,030,058",81
67851-0000,"1,030,062",11
78014-0000,"1,030,139",33
13755-0000,"1,030,198",38
19953-0000,"1,030,205",41
3579-0000,"1,030,236",38
59904-0000,"1,030,271",28
56302-0000,"1,030,370",82
38723-0000,"1,030,398",99
66699-0000,"1,030,477",43
77242-0000,"1,030,543",40
46998-0000,"1,030,616",46
65013-0000,"1,030,636",4
5154-0000,"1,030,701",98
33780-0000,"1,030,705",12
76060-0000,"1,030,770",27
40958-0000,"1,030,806",2
89802-0000,"1,030,840",74
8854-0000,"1,030,864",43
24137-0000,"1,030,881",43
72019-0000,"1,031,027",71
2196-0000,"1,031,076",13
20717-0000,"1,031,083",70
25161-0000,"1,031,090",44
48229-0000,"1,031,108",50
72838-0000,"1,031,140",9
4212-0000,"1,031,226",42
29331-0000,"1,031,365",74
50022-0000,"1,031,372",33
83669-0000,"1,031,372",97
24351-0000,"1,031,602",85
72389-0000,"1,031,668",28
70732-0000,"1,031,793",4
98104-0000,"1,031,830",38
52571-0000,"1,031,848",55
46312-0000,"1,031,890",57
48455-0000,"1,031,898",90
7756-0000,"1,031,953",14
85662-0000,"1,032,001",13
63077-0000,"1,032,060",30
44026-0000,"1,032,165",21
16413-0000,"1,032,208",60
85624-0000,"1,032,234",48
48316-0000,"1,032,263",39
15314-0000,"1,032,680",48
20882-0000,"1,032,821",54
53149-0000,"1,032,838",29
72414-0000,"1,032,885",42
11026-0000,"1,032,893",3
82711-0000,"1,032,915",77
35115-0000,"1,032,985",33
60092-0000,"1,033,001",65
12507-0000,"1,033,019",74
56552-0000,"1,033,132",60
85237-0000,"1,033,192",18
75104-0000,"1,033,207",23
51439-0000,"1,033,350",21
73073-0000,"1,033,400",34
72014-0000,"1,033,424",17
11359-0000,"1,033,491",59
50447-0000,"1,033,566",28
52753-0000,"1,033,577",24
44109-0000,"1,033,604",10
33129-0000,"1,033,722",82
70011-0000,"1,033,740",87
21136-0000,"1,033,751",93
5764-0000,"1,033,810",82
25243-0000,"1,033,812",77
98249-0000,"1,033,833",78
87011-0000,"1,033,862",52
18320-0000,"1,033,889",76
89005-0000,"1,033,902",86
70030-0000,"1,034,094",47
49009-0000,"1,034,244",96
49285-0000,"1,034,426",15
59802-0000,"1,034,501",32
95192-0000,"1,034,545",7
64126-0000,"1,034,626",24
73173-0000,"1,034,719",27
58205-0000,"1,034,751",66
27263-0000,"1,034,771",84
38402-0000,"1,034,795",69
67545-0000,"1,034,825",77
30264-0000,"1,034,866",85
74032-0000,"1,034,948",1
38731-0000,"1,035,002",65
31204-0000,"1,035,026",19
47954-0000,"1,035,026",39
97602-0000,"1,035,027",18
15329-0000,"1,035,062",67
12015-0000,"1,035,095",19
48721-0000,"1,035,103",88
24981-0000,"1,035,148",9
61447-0000,"1,035,185",56
4472-0000,"1,035,225",41
11235-0000,"1,035,236",29
16364-0000,"1,035,287",52
16228-0000,"1,035,453",37
38034-0000,"1,035,453",18
83338-0000,"1,035,486",86
17003-0000,"1,035,508",39
62893-0000,"1,035,601",65
90607-0000,"1,035,631",67
75410-0000,"1,035,678",1
44446-0000,"1,035,687",7
19730-0000,"1,035,826",77
85339-0000,"1,035,979",18
90704-0000,"1,036,076",50
47165-0000,"1,036,126",69
72722-0000,"1,036,131",12
28561-0000,"1,036,163",46
13486-0000,"1,036,191",77
67553-0000,"1,036,306",25
66603-0000,"1,036,419",52
35183-0000,"1,036,466",20
99753-0000,"1,036,503",10
3841-0000,"1,036,535",11
35763-0000,"1,036,554",68
1545-0000,"1,036,562",50
12110-0000,"1,036,594",49
62480-0000,"1,036,601",94
47612-0000,"1,036,606",30
57065-0000,"1,036,750",38
36738-0000,"1,036,752",39
29926-0000,"1,036,827",16
45374-0000,"1,036,832",12
37073-0000,"1,036,848",14
71134-0000,"1,036,922",78
38166-0000,"1,036,927",14
53935-0000,"1,036,942",36
97024-0000,"1,037,000",2
21401-0000,"1,037,073",63
71047-0000,"1,037,167",85
39595-0000,"1,037,246",39
56667-0000,"1,037,346",42
10114-0000,"1,037,369",33
7763-0000,"1,037,403",31
51549-0000,"1,037,407",52
25857-0000,"1,037,417",52
16040-0000,"1,037,420",14
23155-0000,"1,037,452",65
18640-0000,"1,037,479",21
84739-0000,"1,037,530",4
41563-0000,"1,037,538",28
26804-0000,"1,037,543",73
92399-0000,"1,037,584",97
26180-0000,"1,037,585",83
55073-0000,"1,037,590",62
76446-0000,"1,037,625",99
49916-0000,"1,037,647",99
20677-0000,"1,037,665",26
85379-0000,"1,037,674",3
38101-0000,"1,037,841",19
93118-0000,"1,037,944",71
74011-0000,"1,038,001",46
28541-0000,"1,038,045",43
77342-0000,"1,038,090",92
6838-0000,"1,038,103",82
39077-0000,"1,038,110",65
99754-0000,"1,038,157",52
15322-0000,"1,038,169",19
59341-0000,"1,038,222",16
31764-0000,"1,038,236",66
19009-0000,"1,038,247",47
67510-0000,"1,038,258",66
73106-0000,"1,038,317",9
96094-0000,"1,038,413",55
45133-0000,"1,038,419",85
95540-0000,"1,038,540",17
15775-0000,"1,038,616",47
45204-0000,"1,038,644",71
8502-0000,"1,038,658",20
56311-0000,"1,038,797",72
69165-0000,"1,038,803",74
55365-0000,"1,038,898",15
79937-0000,"1,039,055",79
80945-0000,"1,039,117",52
34674-0000,"1,039,140",15
6068-0000,"1,039,201",7
38865-0000,"1,039,265",42
27697-0000,"1,039,299",85
10138-0000,"1,039,347",46
11702-0000,"1,039,361",24
33181-0000,"1,039,394",23
59433-0000,"1,039,437",35
58038-0000,"1,039,458",100
58105-0000,"1,039,515",59
80912-0000,"1,039,538",42
58201-0000,"1,039,756",14
33559-0000,"1,039,789",25
4221-0000,"1,039,917",77
27804-0000,"1,040,122",72
32422-0000,"1,040,135",27
61656-0000,"1,040,188",83
1890-0000,"1,040,283",11
88905-0000,"1,040,341",94
16416-0000,"1,040,376",7
42754-0000,"1,040,390",70
60184-0000,"1,040,392",25
13812-0000,"1,040,402",40
48707-0000,"1,040,501",27
26753-0000,"1,040,515",24
38357-0000,"1,040,534",93
61501-0000,"1,040,587",55
60475-0000,"1,040,601",6
8012-0000,"1,040,615",19
19188-0000,"1,040,739",48
17238-0000,"1,040,778",55
79780-0000,"1,040,882",92
25253-0000,"1,040,911",36
20110-0000,"1,040,938",24
20895-0000,"1,040,960",71
22848-0000,"1,040,965",54
95978-0000,"1,041,054",24
25855-0000,"1,041,068",55
1507-0000,"1,041,074",95
20074-0000,"1,041,136",11
64869-0000,"1,041,157",28
60515-0000,"1,041,198",79
32765-0000,"1,041,250",75
62044-0000,"1,041,254",86
63032-0000,"1,041,296",86
3865-0000,"1,041,346",76
56681-0000,"1,041,441",44
87556-0000,"1,041,441",59
10128-0000,"1,041,497",8
49126-0000,"1,041,522",84
6029-0000,"1,041,582",48
4102-0000,"1,041,698",99
79733-0000,"1,041,796",12
7847-0000,"1,041,814",98
3105-0000,"1,041,826",81
51301-0000,"1,041,838",52
39746-0000,"1,041,888",61
47557-0000,"1,041,907",81
35288-0000,"1,041,924",100
38321-0000,"1,041,944",13
74437-0000,"1,041,958",15
75477-0000,"1,042,019",59
89104-0000,"1,042,028",64
46885-0000,"1,042,042",39
79502-0000,"1,042,065",32
84114-0000,"1,042,108",96
31904-0000,"1,042,113",38
24844-0000,"1,042,138",4
22935-0000,"1,042,213",88
4474-0000,"1,042,222",15
41076-0000,"1,042,381",26
66050-0000,"1,042,409",1
2835-0000,"1,042,464",38
28039-0000,"1,042,624",24
18914-0000,"1,042,682",57
70837-0000,"1,042,707",96
87722-0000,"1,042,899",91
40223-0000,"1,042,928",88
7442-0000,"1,042,966",67
5633-0000,"1,043,026",67
45333-0000,"1,043,038",13
18341-0000,"1,043,054",30
4430-0000,"1,043,088",18
92254-0000,"1,043,089",10
81625-0000,"1,043,112",28
8610-0000,"1,043,185",32
21842-0000,"1,043,195",23
55363-0000,"1,043,276",4
61312-0000,"1,043,292",9
23314-0000,"1,043,304",81
22315-0000,"1,043,383",15
42712-0000,"1,043,397",70
26801-0000,"1,043,405",74
89081-0000,"1,043,405",22
66711-0000,"1,043,410",43
12180-0000,"1,043,436",90
69358-0000,"1,043,505",84
5303-0000,"1,043,628",9
18325-0000,"1,043,628",93
59464-0000,"1,043,665",51
68940-0000,"1,043,682",78
56591-0000,"1,043,749",47
14218-0000,"1,043,771",68
44638-0000,"1,043,780",16
86323-0000,"1,043,816",10
59027-0000,"1,043,910",92
99107-0000,"1,043,937",38
15030-0000,"1,043,952",66
97868-0000,"1,043,957",63
97229-0000,"1,043,995",49
67751-0000,"1,044,037",64
41465-0000,"1,044,080",67
48727-0000,"1,044,098",92
31804-0000,"1,044,216",96
39474-0000,"1,044,218",36
69214-0000,"1,044,278",53
90044-0000,"1,044,295",8
46149-0000,"1,044,530",94
65764-0000,"1,044,570",90
16230-0000,"1,044,676",54
95554-0000,"1,044,683",9
45412-0000,"1,044,726",24
30364-0000,"1,044,761",75
